Identity Looter / Wraith (Tier3–4),"IDs, passports, personal docs",High-skill pickers,"Aggregate, sanitize identities, create false lives","Cleaned IDs, identity packs","Fraud Syndicate, Lawyers, Fixers",High-value target for cops; detection yields heat,Hybrid w/ Hacker (data vs physical) for stronger fraud packs
Relic Picker / Black Market Picker,"Art fragments, collectibles, antiques",Scavengers with taste/knowledge,"Authenticate, broker to collectors","High-value auction goods, smuggling manifests","Smugglers, Vice Lords, International Fence",Sting risk; provenance checking; niche market volatility,Fence can become a front operator (club/pawn)
Tech Salvager / Circuit Rat (Tier1–2),"Phones, radios, cameras, HDDs",Players with basic soldering gear,"Strip PCBs, harvest chips, recover flash","Chips, comms gear, drive fragments","Chip Harvester, Circuit Architect, Hackers",Requires tools; sensitive to police seizures,Partner with Data Dredger to combine hardware+data product
Chip Harvester / Circuit Architect (Tier3–4),"Harvested chips, salvage modules",High-tech scavengers,"Reconstruct modules, craft black-market gear","Scrambler modules, drone parts, weapon mods","Manufacturers, Heist Crews, Syndicate Armory",Tech skill gating; supply chain disruption if chips rare,Circuit Architect + Auto Breaker builds custom getaway cars
Data Dredger / Data Resurrector (Tier2–3),"Drives, encrypted flash, burnt HDDs",Players with forensics tools,"Reconstruct corrupted files, extract fragments","Trace intel, leaked docs, personal data","Data Kingpin, Hackers, Info Brokers",Low probability of high-value finds; legal heat,Hybrid w/ Fraud for identity + data packages
Data Kingpin (Tier4),"Aggregated data fragments, market reach",Criminal info brokers,"Collate, index, sell access/subscriptions","Data bundles, kill-switch intel","Cyber Heist Hacker, Fraud Syndicate, Fixers",Centralized target; takedowns cripple many ops,"Monetize via subscription market, partnerships with Vice"
"Street Alchemist (Small-scale Chem, Tier3)","Cutters, weak reagents",Mid-level chemists,Make low–mid tier consumables,"Street drugs, boosters, low-grade meds","Street Dealers, Club Vendors, Medics","Lab raids, instability risks",Hybrid with Pharmacy Ghost for legit market infiltration
Toxic Recycler / Hazmat Alchemist (Tier3–4),"Rare reagents, hazardous waste",Specialist chemists,"Refine exotic compounds, volatile synthesis","Rare drugs, chemical tools, toxins","Cartel Chemist, Black Clinic, Assassins",Explosive/contaminant risk; police hazmat response,Unique recipes can feed assassination or bio-plotlines
Lab Operator / Cartel Chemist (Drug ladder),"Reagents, precursors, funding",Organized chem crews,"Scale recipes, manage safety, distribution planning",Bulk product (various grades),"Distributors, Fixers, Dealers","Supply chain breaks, source raids, infiltration",Combine with Smuggling Kingpin to secure transport lanes
Smuggler (Courier → Route Captain),"Bulk product, containers, concealment tech","Organized crews, bribe networks","Pack, route-plan, bribe checkpoints",Delivered bulk shipments,"Distributors, Vice Lords, Fence","Border/port interdiction, corruption cost",Hybrid with Scrapyard Boss to hide shipments as scrap
Distributor / Drug Supplier,"Bulk shipments, logistics",District-level operators,"Split, brand, assign dealers","Regional supply, wholesale","Street Dealers, Club Owners","Interdiction, turf wars, price wars",Can vertically integrate with Club Owner for laundering
Street Dealer,"Packaged product, micro-inventory",Low-mid players,"Retail distribution, vendor points","Cash flow, user saturation","Customers (players/NPCs), Enforcers (protection)","Busts, snitches, competition",Can be a rotation job for many players
Fence (+Fence) (Tier4),"Stolen goods, relics, suspicious items","Brokers, front shops","Appraise, launder goods into market","Cash, buyer networks, smuggling routes","Smugglers, Vice Lords, White Collar","Forensic tracing, undercover stings",Can act as front owner for laundering / legal cover
Chop Shop Operator,"Stolen vehicles, Scrapyard parts","Mechanics, thieves","Strip VINs, convert to parts, sell subcomponents","Parts, black-market resell","Mechanics, Manufacturers, Enforcers","VIN tracebacks, police sting",Hybrid with Auto Boss to vertically control car economy
Auto Boss (Car ladder),"Stolen cars, chop shop output",Organized auto crews,"Coordinate theft rings, fence cars","Vehicles sold to buyers, parts contracts","Smugglers, Getaway Drivers, Mechanics","Major police focus, territory friction",Partner with Circuit Architect for modded vehicles
Manufacturer / Arms Dealer,"Metal scrap, chips, crafted templates",Workshop operators,"Assemble weapons, mods, special kit","Melee/ballistic weapons, armor mods","Enforcers, Heist Crews, Syndicate","Resource bottlenecks, legal trace (serials)",Circuit Architect + Auto Breaker produce hybrid weapons/vehicle mods
Enforcer / Warlord networks,"Weapons, fort mats, paid manpower","Gangs, muscle groups","Protect assets, collect, perform violent ops","Territory control, protection revenue","Racketeers, Scrapyard Boss, Vice Lords","Attrition, bounties, arms shortages",Warlord Scrapper ↔ Enforcers partnership for fortified turf
Cleaner,"Physical evidence, dirty clothes, scene traces",Specialists,"Remove prints, plant false evidence, sanitize","Reduced heat, lower wanted time","Heist Crews, Enforcers, Fixers",Failure → arrests; cleaners are single-point for cooldown,Hybrid with Fixer for laundering + legal defense bundles
Fixer / Middleman,"Contacts, job lists, money",Well-networked players,"Job sourcing, cut brokering, reputation control","Crew assignments, protection networks",All mid-high ladders,Burn reputation; vulnerable to betrayals,Great pivot role; can hybrid with Club Owner or Lawyer
Club Owner / Vice Lord,"Cashflow, clientele, inventory (drugs, exotic goods)",Entrepreneurs,"Host, launder, provide distribution front","Laundered cash, influence, political capital","Racketeers, Fixers, Cartels","Regulatory closures, raids",Vice Lord + Fence + Smuggler = near full vertical integration
Money Launderer / White Collar,"Dirty cash, shell businesses","Corrupt accountants, lawyers","Move funds across accounts, legit front ops","Clean cash, investment channels","Syndicate Heads, Cartels","Audits, legal probes, asset freezes",Tie into real-estate mechanics / election/bribe systems
Fraud Syndicate / Digital Kingpin,"IDs, data, forged docs, hacked access",Organized fraud crews,"Execute large scams, create identity bundles","Large sums, access tokens, blackmail material","White Collar, Fixer, Racketeers","Forensic tracing, takedowns, cybersecurity ops",Wraith + Data Kingpin synergy yields high-margin identity packages
Heist Specialist / Mastermind,"Intelligence, crew (driver, hacker, muscle), gear",Organized crews,"Plan, execute multi-stage thefts","High-value loot (cash, artifacts), taxonomic reputations","Fence, Fixer, Cartel (for money use)","Plan leaks, internal betrayal, heavy heat",Requires multi-role orchestration; cross-breeds many ladders
Black Clinic / Organ Broker,"Bio-scrap, rare reagents",Black-market medics,"Perform illegal procedures, organ swaps","High-value services, life-altering fixes","Syndicate elites, Wraith clientele","Moral/ethical flags, large law enforcement response",Hazmat Alchemist ↔ Black Clinic partnership for rare reagents
